easting,northing,longitude,latitude,domain_no,domainname,domaintype
1547353.36634,5340763.98786,172.363475548,-42.0834352522,13,northwestern South Island,Contractional
1547325.36053,5340729.5531,172.363133862,-42.0837434924,13,northwestern South Island,Contractional
1547297.97048,5340694.62656,172.362799573,-42.0840562018,13,northwestern South Island,Contractional
1547271.20482,5340659.21926,172.362472787,-42.0843732818,13,northwestern South Island,Contractional
1547245.07198,5340623.34235,172.362153605,-42.0846946327,13,northwestern South Island,Contractional
1547219.5802,5340587.00715,172.36184213,-42.0850201532,13,northwestern South Island,Contractional
1547194.73752,5340550.22511,172.361538458,-42.0853497407,13,northwestern South Island,Contractional
1547170.55176,5340513.00781,172.361242687,-42.0856832913,13,northwestern South Island,Contractional
1547147.03055,5340475.367,172.360954908,-42.0860207001,13,northwestern South Island,Contractional
1547124.18131,5340437.31454,172.360675214,-42.0863618608,13,northwestern South Island,Contractional
1547102.01123,5340398.86242,172.360403692,-42.0867066657,13,northwestern South Island,Contractional
1547080.52731,5340360.02277,172.360140427,-42.0870550064,13,northwestern South Island,Contractional
1547059.73632,5340320.80782,172.359885504,-42.0874067731,13,northwestern South Island,Contractional
1547039.6448,5340281.22993,172.359639002,-42.0877618549,13,northwestern South Island,Contractional
1547020.2591,5340241.30159,172.359401,-42.08812014,13,northwestern South Island,Contractional
1547001.58533,5340201.03538,172.359171571,-42.0884815155,13,northwestern South Island,Contractional
1546983.62936,5340160.44399,172.35895079,-42.0888458675,13,northwestern South Island,Contractional
1546966.39687,5340119.54021,172.358738725,-42.0892130812,13,northwestern South Island,Contractional
1546949.89328,5340078.33694,172.358535443,-42.089583041,13,northwestern South Island,Contractional
1546934.12379,5340036.84717,172.35834101,-42.0899556303,13,northwestern South Island,Contractional
1546919.09338,5339995.08398,172.358155485,-42.0903307316,13,northwestern South Island,Contractional
1546904.80678,5339953.06052,172.357978928,-42.0907082268,13,northwestern South Island,Contractional
1546891.26849,5339910.79005,172.357811394,-42.0910879969,13,northwestern South Island,Contractional
1546878.48279,5339868.28589,172.357652937,-42.0914699223,13,northwestern South Island,Contractional
1546866.45371,5339825.56144,172.357503607,-42.0918538826,13,northwestern South Island,Contractional
1546855.18503,5339782.63016,172.35736345,-42.0922397568,13,northwestern South Island,Contractional
1546844.6803,5339739.50559,172.357232512,-42.0926274233,13,northwestern South Island,Contractional
1546834.94285,5339696.20132,172.357110832,-42.09301676,13,northwestern South Island,Contractional
1546825.97573,5339652.73101,172.356998451,-42.0934076442,13,northwestern South Island,Contractional
1546817.78178,5339609.10834,172.356895404,-42.0937999526,13,northwestern South Island,Contractional
1546810.36358,5339565.34708,172.356801723,-42.0941935616,13,northwestern South Island,Contractional
1546803.72347,5339521.46101,172.356717438,-42.0945883473,13,northwestern South Island,Contractional
1544756.07976,5325101.93085,172.3305903,-42.2243063111,13,northwestern South Island,Contractional
1541709.00857,5319780.70062,172.293135707,-42.2720057247,13,northwestern South Island,Contractional
1533651.92112,5312354.92641,172.19458845,-42.3382332574,13,northwestern South Island,Contractional
1517428.97814,5299135.8407,171.995785316,-42.4557143631,13,northwestern South Island,Contractional
1484892.42433,5278300.79849,171.595981947,-42.639145334,13,northwestern South Island,Contractional
1484882.89894,5278294.66836,171.595864554,-42.6391990994,13,northwestern South Island,Contractional
1457848.45974,5260809.72343,171.261858525,-42.7920728994,13,northwestern South Island,Contractional
1457812.1808,5260785.80975,171.261409101,-42.7922814198,13,northwestern South Island,Contractional
1457776.32295,5260761.26917,171.260964662,-42.7924956597,13,northwestern South Island,Contractional
1457740.89703,5260736.10909,171.260525343,-42.7927155542,13,northwestern South Island,Contractional
