Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
054A,-43.88253612,169.0430779,14,D,215,0.221,Q3,Foster et al. (2019) & Perrin et al. (2015),0.87,0.2,Q2,Ms,Unpub HVSR (Van Houtte),88,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
055A,-42.44880609,171.2106134,13,D,215,0.221,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.2,Q2,Mw,Unpub HVSR (Van Houtte),73,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
056A,-41.27578377,173.2851453,7,C,340,0.2,Q3,Tracey & Wotherspoon (2021),0.07,0.3,Q3,I,McVerry (2011),50,0.3,Q3,1,Tracey & Wotherspoon (2021),675,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
057A,-42.71781202,170.9643089,6,D,278,0.2,Q3,McVerry (2011),1.1,0.3,Q3,I,Unpub HVSR (Van Houtte),88,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),2225,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
059A,-41.09407816,172.7140389,782,B,604,0.3615,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),23,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
060B,-42.81412056,173.2732382,60,D,244,0.222,Q3,Foster et al. (2019) & Perrin et al. (2015),2.2,0.3,Q3,Mw,Unpub HVSR (Van Houtte),248,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),4325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
070A,-45.41637366,167.7192512,212,D,298,0.2,Q3,McVerry (2011),2.7,0.1,Q1,I,Manea et al. 2021 unpublished,200,0.5,Q3,1,Kaiser et al. (2017),1325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
075A,-46.23420328,169.738873,4,D,400,0.2,Q3,Cousins et al. (2006),0.6,0.3,Q3,I,Cousins et al. (1996),63,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
080B,-44.67285377,167.9263586,19,C,419,0.373,Q3,Foster et al. (2019),0.57,0.3,Q3,I,Kaiser et al. 2017,53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
081A,-38.98874056,175.8059859,375,D,200,0.2,Q3,McVerry (2011),2.3,0.3,Q3,I,McVerry (2011),143,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
